,Environmental,,,ST059,Environmental Pillar Weight,Pillar Weight,,106,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,Environmental,Air Quality,,SR208,Air Quality Issue Score,Issue Score,,24,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,
,Environmental,Air Quality,,SR265,Air Quality Issue Disclosure,Issue Disclosure,,24,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,
,Environmental,Air Quality,,SR474,Air Quality Issue Performance Score,Issue Performance Score,,24,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,
,Environmental,Air Quality,,SR266,Air Quality Issue Weight,Issue Weight,,24,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,
,Environmental,Air Quality,,SR464,Air Quality Issue Percentile,Issue Percentile,,24,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,
,Environmental,Air Quality,,SR483,Air Quality Issue Upper Target,Issue Upper Target,,24,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,
,Environmental,Air Quality,,SR492,Air Quality Issue Lower Target,Issue Lower Target,,24,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,
,Environmental,Air Quality,,SR501,Air Quality BI Issue Priority,Issue Priority,,24,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,5,8,8,8,8,4,4,4,3,,6,6,5,3,5,6,3,3,5,5,,,,,,,,4,,,,,,,,,,3,,
,Environmental,Air Quality,Air Emissions,SR209,Air Emissions Score,Sub Issue Score,,22,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,Y,,,,,,,,,,Y,,
,Environmental,Air Quality,Air Emissions,SR271,Nitrogen Oxide Emissions,Field Score,ES007,22,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,Y,,,,,,,,,,Y,,
,Environmental,Air Quality,Air Emissions,SR275,Sulphur Dioxide / Sulphur Oxide Emissions,Field Score,F0949,21,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,Y,,,,,,,,,,Y,,
,Environmental,Air Quality,Air Emissions,SR272,VOC Emissions,Field Score,ES009,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,Y,,,,,,,,,,,,
,Environmental,Air Quality,Air Emissions,SR279,PM10 Emissions,Field Score,SA089,14,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,Y,Y,Y,Y,Y,,,,,,Y,Y,Y,Y,,,,,,,,,,Y,,,,,,,,,,Y,,
,Environmental,Air Quality,Air Emissions,SR274,Particulate Emissions,Field Score,ES013,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Air Quality,Air Emissions,SR273,Carbon Monoxide Emissions,Field Score,ES010,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Air Quality,Air Emissions,SR281,Hazardous Air Pollutants Emissions,Field Score,SA118,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,
,Environmental,Air Quality,Air Emissions,SR278,Hydrogen Sulfide (H2S) Emissions,Field Score,SA057,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Air Quality,Air Emissions,SR277,Mercury (Hg) Emissions,Field Score,SA019,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
,Environmental,Air Quality,Air Emissions,SR276,Lead Emissions,Field Score,SA008,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,
,Environmental,Air Quality,Air Emissions Policies,SR210,Air Emissions Policies Score,Sub Issue Score,,22,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,
,Environmental,Air Quality,Air Emissions Policies,SR282,Air Pollution Reduction Policy,Field Score,SA162,22,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,
,Environmental,Biodiversity & Natural Capital,,ST168,Biodiversity & Natural Capital Issue Score,Issue Score,,40,,Y,,,,,,,,,,,,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,Y,,Y,,Y,Y,Y,,,,,,Y,Y,Y
,Environmental,Biodiversity & Natural Capital,,ST169,Biodiversity & Natural Capital Issue Disclosure,Issue Disclosure,,40,,Y,,,,,,,,,,,,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,Y,,Y,,Y,Y,Y,,,,,,Y,Y,Y
,Environmental,Biodiversity & Natural Capital,,ST170,Biodiversity & Natural Capital Issue Performance Score,Issue Performance Score,,40,,Y,,,,,,,,,,,,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,Y,,Y,,Y,Y,Y,,,,,,Y,Y,Y
,Environmental,Biodiversity & Natural Capital,,ST171,Biodiversity & Natural Capital Issue Weight,Issue Weight,,40,,Y,,,,,,,,,,,,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,Y,,Y,,Y,Y,Y,,,,,,Y,Y,Y
,Environmental,Biodiversity & Natural Capital,,ST172,Biodiversity & Natural Capital Issue Percentile,Issue Percentile,,40,,Y,,,,,,,,,,,,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,Y,,Y,,Y,Y,Y,,,,,,Y,Y,Y
,Environmental,Biodiversity & Natural Capital,,ST173,Biodiversity & Natural Capital Issue Upper Target,Issue Upper Target,,40,,Y,,,,,,,,,,,,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,Y,,Y,,Y,Y,Y,,,,,,Y,Y,Y
,Environmental,Biodiversity & Natural Capital,,ST174,Biodiversity & Natural Capital Issue Lower Target,Issue Lower Target,,40,,Y,,,,,,,,,,,,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,Y,,Y,,Y,Y,Y,,,,,,Y,Y,Y
,Environmental,Biodiversity & Natural Capital,,ST175,Biodiversity & Natural Capital BI Issue Priority,Issue Priority,,40,,4,,,,,,,,,,,,,3,1,4,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,4,7,7,7,8,7,8,8,6,1,3,4,3,8,4,5,1,2,1,3,,6,,6,,6,,1,,5,2,1,,,,,,7,2,3
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,ST177,Biodiversity Management & Impact Score,Sub Issue Score,,29,,Y,,,,,,,,,,,,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,Y,Y,,,,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,,Y,,Y,,Y,,,,Y,Y,Y,,,,,,Y,Y,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,SR313,Environmental Quality Management  Policy,Field Score,ES041,17,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,,Y,Y,,,,,,,,,,Y,Y,,,,,,,,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,SR316,Number Sites Environmentally Sensitive Areas,Field Score,SA071,15,,Y,,,,,,,,,,,,,,Y,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,Y,Y,,Y,Y,Y,,,,,,,,,,,,,,Y,Y,,,,,,Y,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,ST128,No Net Loss Biodiversity Commitment Policy,Field Score,SB047,8,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,Y,,Y,,Y,,,,,,,,,,,,Y,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,SR317,Land Disturbed,Field Score,SA072,7,,,,,,,,,,,,,,,Y,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,SR318,Land Restored,Field Score,SA073,7,,,,,,,,,,,,,,,Y,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,SR319,Percentage of Land Restored,Field Score,SA074,7,,,,,,,,,,,,,,,Y,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,SR315,Closure and Remediation Policy,Field Score,SA027,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,ST160,No Conversion or Degradation Policy,Field Score,SB055,4,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,Y,,,,,,,,,,,,,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,SR320,Percentage of Natural Gas Pipelines Inspected,Field Score,SA076,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,Y,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,SR313,Environmental Quality Management Policy,Field Score,ES041,2,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,SR321,Percentage of Hazardous Liquid Pipelines Inspected,Field Score,SA078,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,SR560,Percentage of Fleet with Ballast Treatment,Field Score,SA370,2,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,SR564,Arctic Drilling Oil and Gas,Field Score,SA085,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,ST144,Has Forestry Standard Suspended Terminated FY,Field Score,SA367,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,ST145,Area Forestland Protected Conservation Status,Field Score,SA380,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,ST149,Area of Operations in ESA,Field Score,SA829,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,ST161,Exclusion of Highly Hazardous Pesticides Indicator,Field Score,SB252,1,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,ST162,Forestland Managed Certified Percentage,Field Score,SB249,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental,Biodiversity & Natural Capital,Biodiversity Management & Impact,ST163,GRSB or BRSL Member Indicator,Field Score,SB221,1,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
